sim	N	mat_dist	comp_dist	disp_fun	disp_dist	rep	ngen
1	200	0.2	0.1	brownian	1	1	1000
2	200	0.5	0.1	brownian	1	1	1000
3	200	1	0.1	brownian	1	1	1000
4	200	2	0.1	brownian	1	1	1000
5	200	5	0.1	brownian	1	1	1000
6	200	10	0.1	brownian	1	1	1000
7	200	0.2	0.1	cauchy	1	1	1000
8	200	0.5	0.1	cauchy	1	1	1000
9	200	1	0.1	cauchy	1	1	1000
10	200	2	0.1	cauchy	1	1	1000
11	200	5	0.1	cauchy	1	1	1000
12	200	10	0.1	cauchy	1	1	1000
13	200	0.2	0.1	brownian	1	2	1000
14	200	0.5	0.1	brownian	1	2	1000
15	200	1	0.1	brownian	1	2	1000
16	200	2	0.1	brownian	1	2	1000
17	200	5	0.1	brownian	1	2	1000
18	200	10	0.1	brownian	1	2	1000
19	200	0.2	0.1	cauchy	1	2	1000
20	200	0.5	0.1	cauchy	1	2	1000
21	200	1	0.1	cauchy	1	2	1000
22	200	2	0.1	cauchy	1	2	1000
23	200	5	0.1	cauchy	1	2	1000
24	200	10	0.1	cauchy	1	2	1000
25	200	0.2	0.1	brownian	1	3	1000
26	200	0.5	0.1	brownian	1	3	1000
27	200	1	0.1	brownian	1	3	1000
28	200	2	0.1	brownian	1	3	1000
29	200	5	0.1	brownian	1	3	1000
30	200	10	0.1	brownian	1	3	1000
31	200	0.2	0.1	cauchy	1	3	1000
32	200	0.5	0.1	cauchy	1	3	1000
33	200	1	0.1	cauchy	1	3	1000
34	200	2	0.1	cauchy	1	3	1000
35	200	5	0.1	cauchy	1	3	1000
36	200	10	0.1	cauchy	1	3	1000
37	200	0.2	0.1	brownian	1	4	1000
38	200	0.5	0.1	brownian	1	4	1000
39	200	1	0.1	brownian	1	4	1000
40	200	2	0.1	brownian	1	4	1000
41	200	5	0.1	brownian	1	4	1000
42	200	10	0.1	brownian	1	4	1000
43	200	0.2	0.1	cauchy	1	4	1000
44	200	0.5	0.1	cauchy	1	4	1000
45	200	1	0.1	cauchy	1	4	1000
46	200	2	0.1	cauchy	1	4	1000
47	200	5	0.1	cauchy	1	4	1000
48	200	10	0.1	cauchy	1	4	1000
49	200	0.2	0.1	brownian	1	5	1000
50	200	0.5	0.1	brownian	1	5	1000
51	200	1	0.1	brownian	1	5	1000
52	200	2	0.1	brownian	1	5	1000
53	200	5	0.1	brownian	1	5	1000
54	200	10	0.1	brownian	1	5	1000
55	200	0.2	0.1	cauchy	1	5	1000
56	200	0.5	0.1	cauchy	1	5	1000
57	200	1	0.1	cauchy	1	5	1000
58	200	2	0.1	cauchy	1	5	1000
59	200	5	0.1	cauchy	1	5	1000
60	200	10	0.1	cauchy	1	5	1000
